"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
5,11,16.5,1,15.8,20,3.5,48.5,1,3,414,9,3.74,451.55,15
16,4,16,3,12.9,21,3.8,23.4,8,4,703,10,7.66,621.6,12
21,5,15.7,0,15.6,16,3.9,34.8,5,2,517,7,2.43,298.35,6
21,2,16.3,5,11,21,4,31.1,1,4,718,11,3.37,396.96,11
16,5,16.2,0,9.3,17,3.8,39.9,0,3,628,9,1.87,191.39,2
21,11,16.1,2,13.9,21,3.8,55,0,4,732,10,0.83,65.93,15
16,4,16.4,0,13.6,23,3.7,35.6,0,4,618,11,3.78,26.25,12
10,3,16.3,1,17.2,23,3.7,34.5,0,2,708,7,0.71,60.44,5
5,2,17.7,5,16.2,22,3.7,40,1,4,764,11,7.09,609.15,15
16,3,16.7,1,11.9,22,3.5,37.4,0,4,762,10,0.54,73.82,11
16,9,15.8,1,13,19,4.1,34.2,0,2,259,7,1.75,208.58,10
12,2,17.7,5,15.1,23,3.8,36.2,4,3,708,11,4.69,384.09,1
13,11,16,2,12.6,26,3.9,31.9,0,2,279,7,0.56,60.37,3
16,4,15.1,1,12,25,3.7,41.9,0,2,487,7,2.29,143.48,1
14,2,15.8,3,10.1,21,3.8,34.2,7,2,371,7,8.6,1029.19,7
5,1,16.2,4,11.9,22,3.6,45.1,0,3,584,11,3.14,145.61,8
19,2,17.7,7,14.2,29,3.8,42.6,1,4,752,11,3.16,225.84,13
17,11,16.2,1,15.6,16,3.9,36.4,6,3,478,9,4.42,355.43,9
11,5,16.2,0,11.7,18,3.7,26.6,31,3,1225,9,14.24,953.59,4
16,5,15.6,0,12,23,3.5,38.3,0,4,1019,10,1.37,201.85,10
24,5,15.8,4,19.7,27,3.5,39.9,0,3,563,9,1.3,86.29,9
14,13,16,4,13.9,30,3.7,24.7,1,3,564,10,3.82,341.2,9
2,7,15.6,1,14.9,12,4,24.9,1,3,630,9,3,293.65,9
2,5,15.4,3,13.5,22,3.5,35.2,0,3,346,8,0.95,66.3,15
21,2,16.2,0,12.9,21,3.7,30.2,1,3,627,10,3.65,415.96,12
2,13,15.3,2,12.2,19,3.7,36.2,7,3,356,9,5.23,646.08,9
16,5,15.9,1,13,21,3.7,38.5,0,2,353,8,0.47,15.63,1
11,11,16.2,3,12.6,19,3.8,27.9,0,3,944,7,0.85,34.72,4
16,14,15.3,1,10.7,20,3.8,31.4,1,3,653,9,4.12,513.11,3
23,7,15.6,0,12.5,26,4,27.5,6,3,737,9,4.11,373.75,7
18,13,16.5,5,13.3,30,3.7,35.7,2,4,707,11,8.89,543.82,1
24,13,15.5,3,14.4,23,4.1,39.6,1,3,339,7,1.08,193.34,13
8,13,15.7,1,15.8,20,3.6,37.2,0,3,456,10,0.71,95.61,8
24,11,16,2,14.4,22,3.8,27.3,0,3,437,9,1.24,78.49,9
16,4,16,2,14.1,15,3.9,31,0,2,927,6,0.57,140.29,12
16,4,16.3,3,12.4,31,3.7,33.7,1,4,385,11,6.99,834.91,6
16,9,15.8,3,12.7,23,3.8,46.9,0,3,1115,10,0.9,31.9,12
11,3,15.8,1,14.7,19,3.8,29.7,0,2,1149,7,0.35,47.38,4
5,7,15.1,4,10.8,15,3.9,26.7,2,3,487,10,1.54,108.5,15
21,7,15.3,0,12,15,3.9,32.7,0,2,1279,7,1.72,180.95,11
17,2,16.2,5,13.5,32,3.9,33.8,1,2,677,7,3.05,184.68,9
21,7,15.2,4,10.4,23,3.8,28.4,0,3,772,8,1.12,99.91,8
14,11,17.1,0,12.1,16,4.1,43.5,0,4,1686,11,0.22,28.67,11
24,14,16.2,3,11.1,25,3.8,42.7,0,4,825,11,0.37,33.43,7
16,13,15.1,0,9.2,18,3.9,43.9,1,3,563,8,2.11,211.47,11
2,13,17.3,5,13.4,23,3.8,40.6,1,2,770,6,2.55,267.66,9
16,5,18.1,1,15.1,19,3.8,38.6,1,2,939,6,1.14,150.47,10
16,7,16,0,13.6,19,3.9,34.4,0,2,573,7,1.83,260.04,6
15,7,16.4,3,13,28,3.7,50.3,0,4,1187,11,0.4,37.5,1
13,14,16.3,2,13.4,30,3.9,34.3,0,3,1588,10,0.73,61.6,2
21,2,17.7,4,15.9,24,3.9,38.5,1,3,941,9,2.39,195.4,10
20,3,15.4,3,13.7,29,4,30.7,1,1,576,6,0.5,71.06,13
16,7,15,2,8.4,25,3.8,31.5,1,3,422,7,7.77,801.2,6
16,4,15.1,1,8.4,18,3.6,22.8,0,2,715,7,2.54,223.66,1
23,13,16.2,2,14.4,20,3.9,44.7,15,4,508,11,4.49,421.95,7
6,5,15.3,0,9.2,16,3.9,20.5,2,3,877,8,5.87,707.13,3
1,2,15.1,0,11.4,20,3.5,30.5,1,3,1229,9,1.55,200.45,1
21,4,15.6,2,12.2,24,3.7,42.7,0,4,1694,10,1.85,128.16,6
12,5,16.3,0,9.4,16,3.5,27.9,0,3,367,9,0.42,55.95,9
23,7,14.8,0,13.8,13,3.5,36.4,0,2,616,7,0.42,81.17,7
12,10,15.8,3,11.2,17,4,51.2,26,2,964,8,1.17,95.06,3
23,13,16.7,3,13.2,18,4.1,34.8,0,3,841,10,1.21,50.11,10
12,10,15.2,2,12.4,22,3.7,30.3,0,3,592,8,0.23,17.05,9
7,5,16.1,1,13.2,23,3.5,29,9,4,404,11,11.2,1096.47,4
21,14,15.1,0,8.5,21,4,46.2,0,3,1103,8,0.86,84.49,4
24,11,16.2,1,13.4,15,3.4,21.7,56,3,346,8,7.57,871.45,13
14,13,16.4,5,10.9,19,3.8,31.6,1,4,862,11,3.69,352.73,15
16,14,16.3,3,13.6,23,3.8,29.3,0,4,544,9,0.56,56.37,10
2,13,16.1,4,15.5,28,4,33.1,1,3,997,7,3.27,324.12,1
7,5,15.3,1,9.4,21,3.9,46.9,0,3,687,8,0.35,15.67,15
13,1,17.2,1,15.3,21,4,37,1,2,634,9,4.06,216.6,3
16,12,15.4,0,9.8,20,3.7,20.9,18,3,881,9,6.87,1025.71,14
9,13,15.8,4,11.5,25,3.7,26.7,80,2,716,9,2.6,93.72,13
24,7,15.1,1,8.5,18,4,35.1,15,4,711,10,4.43,381.51,13
11,13,16.3,0,12.1,19,4.2,37.8,0,3,558,9,0.91,122.63,15
16,13,16.1,4,15.6,28,4,21.2,0,3,621,8,1.51,106.32,1
16,13,16.2,3,16.7,15,3.9,38.8,0,4,489,11,0.4,15.22,8
12,4,16.5,5,11.3,25,3.9,39.5,0,4,389,11,0.86,78.74,1
4,11,16,2,14.3,22,4,49.3,0,3,902,8,1.24,97.05,13
7,10,16,2,11.7,19,3.7,31,0,2,581,8,0.4,44.87,11
16,7,16,2,13.5,17,4.1,28,1,3,326,8,3.23,403.33,6
5,2,17,5,14.4,26,4,28.3,1,4,225,11,0.83,94.31,10
16,5,17.7,3,13.7,19,3.8,47.4,21,3,542,7,3.58,402.33,10
16,7,16.3,3,11.2,18,3.8,42.9,0,3,1325,9,1.29,97.54,10
12,13,15.4,4,14.2,22,4,13.3,22,3,805,10,2.02,243.23,1
11,11,15.8,1,9.9,21,3.9,41.5,0,2,456,7,0.56,122.38,4
16,4,15.4,1,10.6,19,3.8,25.4,0,3,794,8,0.71,72.66,3
21,2,17.7,0,17.1,17,3.9,36.4,1,3,672,11,4.24,351.79,11
16,2,16.8,4,12.4,22,3.8,41.4,0,3,658,9,2.94,142.84,4
24,14,14.9,2,10.4,18,3.7,43.7,1,3,629,10,2.54,193.75,9
10,14,14.8,1,9.8,20,3.5,31.1,23,2,1041,7,10.05,1304.35,3
1,3,15,0,15.3,20,4.1,9.6,0,3,1044,9,1.63,153.31,14
12,4,16.6,5,10.8,18,4.2,48.2,0,4,695,11,0.64,43.35,1
16,7,15.7,1,7.6,17,3.8,38.3,1,4,391,10,4.42,469.2,6
7,14,15.7,3,10.3,13,4,37.1,1,3,605,9,1.2,159.28,15
19,14,15.3,0,10.5,15,3.6,44,0,3,656,9,0.96,50.43,13
24,11,15.3,1,12.1,18,4.1,30.5,0,3,667,7,1.86,174.29,9
11,13,15.4,2,8.6,19,3.6,25.6,1,3,658,8,3.62,473.05,4
10,14,15,3,13.9,22,3.6,39.1,1,2,511,7,4.03,496.99,3
19,11,16.9,2,14.2,25,3.9,55.2,0,2,468,9,0.31,33.56,13
9,11,16.8,1,12.2,17,3.9,26,0,4,945,10,2.18,213.17,12
19,11,18.7,1,15.8,13,3.9,32.8,0,2,1014,6,0.41,51.69,13
21,7,15.7,3,12.6,19,3.8,37,0,5,1115,11,0.52,49.74,8
16,14,15.9,2,12.5,13,4,45.4,23,3,407,7,6.83,933.53,9
16,8,16.4,0,16.6,21,3.9,37.8,1,3,1019,9,3.54,501.67,3
14,5,15.6,3,13.6,18,3.8,51.6,0,2,1262,6,1.79,135.79,11
12,5,16,3,10.8,21,3.7,30.7,2,2,932,7,3.8,414.07,9
2,14,15,2,12.1,18,3.4,44.6,89,3,537,9,4.01,496.42,15
3,2,17.7,4,14.7,21,3.7,33.7,0,4,1234,11,1.63,146.12,2
16,1,18.3,4,18.7,26,3.8,27.9,0,2,312,6,1.32,107.43,12
18,2,16.3,4,7.9,24,3.8,36.6,22,3,491,10,5.73,531.54,9
16,6,15.7,3,14.5,24,3.9,36.3,0,3,479,9,3.16,238.89,12
2,3,17.1,0,14.7,28,3.6,40.1,0,4,955,11,0.62,86.13,9
21,5,15.8,0,12.2,24,3.7,45.8,0,3,1129,8,0.45,58.22,10
16,3,16.6,0,14.8,31,3.8,39.5,0,3,251,7,2.1,117.93,12
2,10,16.1,2,8.1,27,3.8,42.5,0,3,494,10,0.97,130.39,9
12,9,16,0,9.5,16,3.7,32.1,30,3,320,9,8.74,962.42,2
5,13,15,3,12.3,23,3.5,27.7,0,3,577,8,1.49,95.21,15
2,13,15.6,2,11.8,23,3.9,30.5,32,3,824,10,2.46,316.48,10
12,8,15.9,1,11.6,22,3.8,29.8,1,3,604,8,2.31,372.33,3
5,3,17.7,3,19.3,24,3.7,29.5,0,4,786,11,0.54,26.72,10
21,7,16.1,4,11.2,28,3.9,28.6,2,3,276,10,4.07,155.26,6
7,3,16.7,0,14.4,23,3.8,53.3,0,3,426,10,0.49,44.65,15
16,1,16,0,15.1,23,3.9,39.9,1,4,459,10,0.36,363.2,12
12,12,15.7,0,10.9,21,3.8,33.3,0,2,459,8,0.43,26.75,6
12,14,16.4,3,8.2,17,3.6,36.6,1,4,986,11,1.42,137.19,1
13,11,15.4,0,9.5,18,4,30.8,1,2,320,8,2.16,208.16,5
5,13,16.2,3,13.9,23,3.8,30.5,1,4,545,9,1.53,162.18,10
21,4,14.9,6,9.6,18,4.1,56.8,41,3,826,8,9.28,204.56,8
2,4,15.2,0,9.5,14,3.7,33.5,0,3,879,8,0.53,21.57,14
4,6,16,5,14.4,28,3.7,30.8,9,3,551,7,2.65,154.5,13
21,1,16.2,1,16.2,14,3.9,47.5,1,3,94,8,0.43,53.34,8
19,14,15.5,1,13.6,22,3.8,31.3,1,2,777,7,0.19,163.71,13
4,5,16.1,3,13.5,17,3.3,19.8,62,4,749,10,3.14,223.21,5
16,1,15.8,6,13,19,3.5,56.7,0,1,635,7,1.03,68.25,3
21,11,15.7,0,13.2,18,3.7,42,24,2,729,9,2.1,218.31,8
11,13,17.2,1,10.6,17,3.3,45.6,0,2,564,6,0.69,46.33,4
2,14,15.2,3,15.2,21,3.8,29.4,0,3,957,10,1.25,135.8,9
16,4,15.3,3,13.5,27,3.4,36.2,18,4,695,10,3.66,456.06,12
12,4,15.9,0,12.2,20,3.4,31.8,15,3,705,9,2.39,208.32,3
14,8,15.4,4,10.9,21,3.3,31.3,1,2,1233,6,2.01,173.88,15
2,2,15.6,3,9.9,29,3.9,43.5,38,3,843,8,9.23,781.12,9
21,3,16,0,13.6,12,3.9,32.8,1,3,295,10,1.07,77.65,15
22,2,16.6,3,12.8,19,3.5,39.6,0,3,1073,10,0.29,32.95,2
18,7,15.6,1,13.5,23,3.8,43.8,0,3,457,10,0.96,24.71,8
16,5,15,2,10.2,19,3,31.9,1,2,794,7,2.4,151.39,1
24,13,15.5,2,10.9,28,4,40.8,0,2,411,7,3.76,81.51,13
5,7,16.7,0,13.2,13,4.1,30,0,3,272,9,0.19,23.11,10
12,8,17,2,16.7,27,3.4,34.4,18,2,285,7,2.26,202.25,14
16,5,15,4,12.3,16,3.9,41.4,1,3,392,7,2.94,281.99,3
21,11,15.9,1,14,11,3.7,37.9,75,2,569,8,1.98,344.66,8
21,5,15.2,2,9.8,22,3.2,48.2,8,2,322,7,3.32,273.53,6
16,13,16.2,5,11.2,33,4,28.1,0,4,894,11,1.74,131.99,1
14,1,16.2,4,13.8,28,3.7,40.4,1,3,552,7,2.33,170.44,11
21,7,15.6,1,10,24,3,28.2,65,3,684,9,4.76,550.8,11
21,5,16.1,1,12,14,3.9,33,8,4,688,11,5.55,578.72,8
22,2,15.5,5,14.8,23,3.7,34.8,65,2,823,8,3.37,226.59,2
23,6,15.6,4,13.8,25,3.8,29.2,0,3,405,10,0.66,64.44,7
12,14,14.8,1,11.9,26,3.4,40.9,41,2,1236,9,1.43,182.18,6
14,14,15.8,3,13.7,17,4,33.8,1,2,515,8,0.96,100.63,9
7,13,16.6,5,15.2,27,3.6,34.7,0,3,624,11,1.1,98.03,15
21,4,16.6,4,15.1,25,3.7,30.6,0,4,388,11,1.47,173.7,12
16,5,14.9,2,11.2,24,4,45.6,0,3,1423,7,0.75,84.88,9
11,14,16,1,10.8,19,3.1,34.4,0,3,772,8,1.01,137.27,4
16,5,15.8,1,10.9,19,3.8,35.8,0,3,767,8,1.06,69.29,12
12,5,16.1,1,12.4,23,4.2,37.8,1,2,778,8,2.33,334.34,2
7,5,16,4,13.9,23,3.6,27.7,18,4,897,11,7.48,723.17,4
19,14,15.7,2,12.8,25,4.1,28.8,0,2,492,7,3.44,339.15,5
16,14,15.8,1,8.4,21,3.6,19.3,0,3,263,8,0.69,43.23,15
24,5,15.5,4,12.3,29,4.1,33.9,0,2,856,7,0.32,26.8,13
2,7,16,1,10.7,22,4.1,20.7,0,2,1209,8,3.09,254.51,15
5,5,17.4,2,15.8,23,3.8,35.4,6,3,688,6,3.74,375.59,4
11,11,15.4,1,14.7,27,4,31.2,5,3,860,9,5.37,459.03,4
12,2,15.9,0,9.9,22,3.4,28.2,0,3,681,9,0.5,72.47,1
18,5,16.1,5,14.3,25,3.9,32.4,9,3,314,10,1.62,117.84,13
18,7,16.6,2,14.1,22,3.4,42.9,0,4,473,11,1.45,80.26,8
16,7,15.8,3,14.6,30,3.9,50.9,0,2,649,7,3.25,210.49,6
16,5,15.8,2,13.8,21,3.5,41.5,128,2,929,8,6.2,607.07,12
16,13,15.7,4,14.4,25,3.9,29.8,25,3,693,10,1.61,144.74,10
24,13,16.8,1,13.8,18,3.4,35.8,1,3,286,9,1.6,123.16,13
19,1,16.6,0,12.2,18,3.8,51.7,0,2,1008,7,2.76,211.35,5
12,5,16.6,1,11,27,3.7,24.3,19,3,507,9,4.49,390.43,14
9,5,15.6,0,9.8,14,3.7,29.6,0,3,721,10,2.81,306.97,12
14,5,14.8,3,13,23,4,32.7,0,2,608,7,2.74,267.23,15
2,5,14.8,4,12.3,20,3.6,30.5,0,2,831,7,1.62,172.95,15
16,14,16.5,0,8.6,20,3.9,19.5,1,3,775,9,8.26,735.41,6
24,14,14.7,0,10.2,22,4.1,36.3,0,4,675,10,4.11,97.44,9
21,7,14.9,1,12.4,22,3.6,33.9,0,4,440,8,2.46,295.92,4
21,14,16.4,2,14.4,32,3.8,30.2,0,2,627,6,0.8,92.23,8
2,11,15.9,2,14.9,23,3.9,38.2,1,2,987,8,4.11,459.42,15
5,13,16.3,1,11.6,22,3.8,34.5,1,3,796,9,4.66,451.72,10
12,14,16.2,1,11.7,24,4,47.2,0,4,821,11,0.51,39.43,3
7,13,16.1,1,13.7,21,4,45.6,24,3,446,10,4.04,504.35,11
16,4,15,3,13.8,21,3.9,32.4,0,3,313,7,0.78,40.63,14
19,2,16.2,1,14.1,22,3.5,37.8,8,4,921,10,3.16,212.53,13
14,2,17.1,4,13.8,21,4.2,39.4,1,4,527,11,1.1,77.73,15
3,7,15.6,1,9.9,29,3.9,45.6,0,3,778,10,2.44,194.51,2
19,3,17,6,13.9,22,3.8,37.7,0,4,758,11,2.29,177.11,13
2,5,15.2,0,10.2,19,3.9,26.9,8,3,601,8,8.93,823.53,7
16,5,15.5,1,7.5,15,4,28.3,2,3,947,10,5.6,672.1,4
16,3,15.6,2,13.1,23,4,32.5,0,2,875,7,0.45,66.58,12
2,13,16.3,1,10.8,25,3.5,43.5,1,3,502,11,1.4,93.08,14
14,5,14.9,1,10.5,19,3.9,46.9,0,2,657,7,0.14,20.19,9
3,5,16,0,11.1,20,3.9,34.7,5,2,875,7,0.92,54.22,13
23,7,15.5,3,11.1,24,4,35.4,25,3,1659,10,6.04,476.54,11
13,2,16.2,1,10.9,22,3.7,38.7,7,3,554,10,7.33,574.81,5
